Patient ID,Species,Common Name,Admission Date,Location Found,City Found,County Found
2019-4445,EACO,Eastern Cottontail,9/28/2019,8002 5th Ave NE,Seattle,King
2019-4449,DEJU,Dark-eyed Junco,9/28/2019,14020 Meridian Ave N,Seattle,King
2019-4451,CEDW,Cedar Waxwing,9/28/2019,4726 45th Ave S,Seattle,King
2019-4456,EGSQ,Eastern Gray Squirrel,9/29/2019,423 N 64th St,Seattle,King
2019-4458,AMRO,American Robin,9/29/2019,7739 44th Ave NE,Seattle,King
2019-4461,RBNU,Red-breasted Nuthatch,9/29/2019,6848 34th AVE NE,Seattle,King
2019-4463,HETH,Hermit Thrush,9/29/2019,2061 15th Ave W,Seattle,King
2019-4464,MGWA,MacGillivray's Warbler,9/29/2019,7007 16th AVE NW,Seattle,King
2019-4467,RBNU,Red-breasted Nuthatch,9/29/2019,3400 39th Ave SW,Seattle,King
2019-4469,AMRO,American Robin,9/30/2019,4838 S Raymond St,Seattle,King
2019-4470,EGSQ,Eastern Gray Squirrel,9/30/2019,1610 N 41st St,Seattle,King
2019-4474,EGSQ,Eastern Gray Squirrel,9/30/2019,7926 29th Ave,Seattle,King
2019-4478,EACO,Eastern Cottontail,9/30/2019,2450 25th Ave E,Seattle,King
2019-4480,ROPI,Rock Pigeon,9/30/2019,2061 15th Ave W,Seattle,King
2019-4481,HOFI,House Finch,9/30/2019,12729 39th AVE NE,Seattle,King
2019-4489,EACO,Eastern Cottontail,10/1/2019,4509 19th Ave NE,Seattle,King
2019-4490,EACO,Eastern Cottontail,10/1/2019,2450 25th Ave E,Seattle,King
2019-4491,EACO,Eastern Cottontail,10/1/2019,2450 25th Ave E,Seattle,King
2019-4495,CEDW,Cedar Waxwing,10/2/2019,Coleman Park,Seattle,King
2019-4497,CEDW,Cedar Waxwing,10/2/2019,2601 West Boston St,Seattle,King
2019-4501,ROPI,Rock Pigeon,10/3/2019,11 East Pine St,Seattle,King
2019-4503,EGSQ,Eastern Gray Squirrel,10/3/2019,5814 4th Ave NW,Seattle,King
2019-4506,ROPI,Rock Pigeon,10/3/2019,5200 Roosevelt Way NE,Seattle,King
2019-4508,EGSQ,Eastern Gray Squirrel,10/3/2019,1815 N 45th St,Seattle,King
2019-4511,BRCR,Brown Creeper,10/4/2019,3400 Walnut Ave SW,Seattle,King
2019-4512,NORA,Norway Rat,10/4/2019,5515 15th Ave NE,Seattle,King
2019-4514,COHA,Cooper's Hawk,10/4/2019,S Michigan St and 1st Ave S,Seattle,King
2019-4516,BLRA,Black Rat,10/4/2019,4222 Pasadena Pl NE,Seattle,King
2019-4517,EACO,Eastern Cottontail,10/4/2019,10522 Lake City Way NE,Seattle,King
2019-4518,CEDW,Cedar Waxwing,10/4/2019,6325 Beach Dr SW,Seattle,King
2019-4519,ROPI,Rock Pigeon,10/4/2019,S Holgate St & 4th Ave S,Seattle,King
2019-4520,ROPI,Rock Pigeon,10/4/2019,19th Ave & Pine St,Seattle,King
2019-4524,EGSQ,Eastern Gray Squirrel,10/5/2019,8225 California Ave SW,Seattle,King
2019-4527,SWTH,Swainson's Thrush,10/5/2019,500 17th Ave,Seattle,King
2019-4528,EACO,Eastern Cottontail,10/5/2019,2621 NW 87th ST,Seattle,King
2019-4529,EACO,Eastern Cottontail,10/5/2019,7706 Highland Park Way SW,Seattle,King
2019-4533,CEDW,Cedar Waxwing,10/5/2019,102 N 77th ST,Seattle,King
2019-4539,CEDW,Cedar Waxwing,10/5/2019,353 N 74th ST,Seattle,King
2019-4540,AMRO,American Robin,10/6/2019,4216 5th Ave NW,Seattle,King
2019-4541,EGSQ,Eastern Gray Squirrel,10/6/2019,3451 24th AVE W,Seattle,King
2019-4543,EACO,Eastern Cottontail,10/6/2019,5000 13th Ave SW,Seattle,King
2019-4544,EACO,Eastern Cottontail,10/6/2019,5000 13th Ave SW,Seattle,King
2019-4545,EACO,Eastern Cottontail,10/6/2019,5000 13th Ave SW,Seattle,King
2019-4546,HETH,Hermit Thrush,10/6/2019,9610 Marmount Dr NW,Seattle,King
2019-4551,AMCR,American Crow,10/6/2019,1208 N 42nd St,Seattle,King
2019-4561,HOFI,House Finch,10/7/2019,W Galer St & 10th Ave W,Seattle,King
2019-4562,ROPI,Rock Pigeon,10/7/2019,200 17th Ave E,Seattle,King
2019-4571,PAWR,Pacific Wren,10/8/2019,2843 NW 67th St,Seattle,King
2019-4572,ROPI,Rock Pigeon,10/8/2019,Pike Place Market,Seattle,King
2019-4574,VATH,Varied Thrush,10/8/2019,11060 24th Pl SW,Seattle,King
2019-4576,ROPI,Rock Pigeon,10/8/2019,9999 Holman Rd NW,Seattle,King
2019-4577,ROPI,Rock Pigeon,10/8/2019,9999 Holman Rd NW,Seattle,King
2019-4583,DEJU,Dark-eyed Junco,10/9/2019,6024 26th Ave NE,Seattle,King
2019-4585,VATH,Varied Thrush,10/9/2019,Union St & 6th Ave,Seattle,King
2019-4586,ROPI,Rock Pigeon,10/9/2019,Albion Place N and N 36th St,Seattle,King
2019-4587,ROPI,Rock Pigeon,10/9/2019,2000 SW Yancy St,Seattle,King
2019-4588,ROPI,Rock Pigeon,10/9/2019,4th Ave & Pine St,Seattle,King
2019-4589,VATH,Varied Thrush,10/9/2019,540 NE 85th St,Seattle,King
2019-4590,ROPI,Rock Pigeon,10/9/2019,Roosevelt Way NE & NE 45th St,Seattle,King
2019-4594,HOGR,Horned Grebe,10/9/2019,NW Ballard Way & 15th Ave NW,Seattle,King
2019-4595,CEDW,Cedar Waxwing,10/9/2019,2061 15th Ave W,Seattle,King
2019-4598,BRCR,Brown Creeper,10/10/2019,Terry Ave & University St,Seattle,King
2019-4600,AMCR,American Crow,10/10/2019,2061 15th Ave W,Seattle,King
2019-4601,AMCR,American Crow,10/10/2019,2061 15th Ave W,Seattle,King
2019-4602,RTHA,Red-tailed Hawk,10/10/2019,2061 15th Ave W,Seattle,King
2019-4606,ROPI,Rock Pigeon,10/10/2019,801 NE 65th St,Seattle,King
