Patient ID,Species,Common Name,Admission Date,Location Found,City Found,County Found
2019-0007,EGSQ,Eastern Gray Squirrel,1/2/2019,728 21st Ave E,Seattle,King
2019-0009,EACO,Eastern Cottontail,1/2/2019,Dravus St and 27th Ave W,Seattle,King
2019-0012,BUSH,Bushtit,1/2/2019,5125 40th Ave NE,Seattle,King
2019-0014,AMRO,American Robin,1/3/2019,5045 36th Ave NE,Seattle,King
2019-0017,ROPI,Rock Pigeon,1/4/2019,117 S Washington St,Seattle,King
2019-0018,GWGU,Glaucous-winged Gull,1/5/2019,117 S Washington St,Seattle,King
2019-0024,ROPI,Rock Pigeon,1/7/2019,1630 Boylston Ave,Seattle,King
2019-0025,SOSP,Song Sparrow,1/7/2019,8498 Seaview Pl NW,Seattle,King
2019-0027,ROPI,Rock Pigeon,1/8/2019,2334 4th Ave,Seattle,King
2019-0030,COHA,Cooper's Hawk,1/8/2019,800 Poplar Place S,Seattle,King
2019-0043,DEJU,Dark-eyed Junco,1/14/2019,12014 22nd Ave NE,Seattle,King
2019-0046,DEJU,Dark-eyed Junco,1/15/2019,7509 39th Ave NE #2,Seattle,King
2019-0048,GWGU,Glaucous-winged Gull,1/15/2019,8498 Seaview Pl NW,Seattle,King
2019-0059,ROPI,Rock Pigeon,1/19/2019,507 W Mercer St #101,Seattle,King
2019-0066,EACO,Eastern Cottontail,1/20/2019,1700 Ravenna Blvd NE,Seattle,King
2019-0068,PEFA,Peregrine Falcon,1/21/2019,1201 Amgen Ct W,Seattle,King
2019-0069,AMRO,American Robin,1/21/2019,5603 45th Ave SW,Seattle,King
2019-0071,EGSQ,Eastern Gray Squirrel,1/21/2019,1907 9th Ave W,Seattle,King
2019-0086,AMRO,American Robin,1/25/2019,4005 46th Ave,Seattle,King
2019-0087,EGSQ,Eastern Gray Squirrel,1/25/2019,3610 11th Ave W,Seattle,King
2019-0091,AMRO,American Robin,1/26/2019,3713 E Pike St,Seattle,King
2019-0092,ROPI,Rock Pigeon,1/26/2019,1222 Summit Ave #409,Seattle,King
2019-0093,AMRO,American Robin,1/26/2019,5437 31st Ave SW,Seattle,King
2019-0096,SPTO,Spotted Towhee,1/26/2019,1811 N 80th St,Seattle,King
2019-0103,ROPI,Rock Pigeon,1/29/2019,914 E Harrison St,Seattle,King
2019-0105,COHA,Cooper's Hawk,1/30/2019,3233 16th Ave S,Seattle,King
2019-0106,AMRO,American Robin,1/30/2019,2331 Fairview Ave E,Seattle,King
2019-0109,EACO,Eastern Cottontail,1/30/2019,3621 NE 85th St,Seattle,King
2019-0121,AMRO,American Robin,2/2/2019,1124 N 76th St,Seattle,King
2019-0122,ROPI,Rock Pigeon,2/2/2019,5900 37th Ave,Seattle,King
2019-0131,AMRO,American Robin,2/5/2019,1235 Taylor Ave N # 2,Seattle,King
2019-0138,RTHA,Red-tailed Hawk,2/5/2019,708 6th Ave N,Seattle,King
2019-0140,EACO,Eastern Cottontail,2/6/2019,Fairmond Park,Seattle,King
2019-0141,VATH,Varied Thrush,2/6/2019,30th Ave W and Barrett St,Seattle,King
2019-0142,HOFI,House Finch,2/6/2019,4202 Sunnyside Ave N,Seattle,King
2019-0154,GWGU,Glaucous-winged Gull,2/9/2019,E Pine St and Belmont Ave,Seattle,King
2019-0160,ROPI,Rock Pigeon,2/10/2019,9745 10th Pl SW,Seattle,King
2019-0163,DEJU,Dark-eyed Junco,2/10/2019,4756 46th Ave NE,Seattle,King
2019-0166,ANHU,Anna's Hummingbird,2/11/2019,2030 Western Ave,Seattle,King
2019-0169,VATH,Varied Thrush,2/12/2019,11526 20th Ave NE,Seattle,King
2019-0172,AMCR,American Crow,2/12/2019,2102 NE 68th Street,Seattle,King
2019-0176,ROPI,Rock Pigeon,2/13/2019,1520 Broadway,Seattle,King
2019-0177,ROPI,Rock Pigeon,2/13/2019,1924 9th Ave,Seattle,King
2019-0178,NOFL,Northern Flicker,2/13/2019,431 SW 106th St,Seattle,King
2019-0179,ROPI,Rock Pigeon,2/14/2019,1703 12th Ave,Seattle,King
2019-0183,GWGU,Glaucous-winged Gull,2/14/2019,401 Alaskan Way,Seattle,King
2019-0188,RACC,Raccoon,2/15/2019,3000 NE 75th St,Seattle,King
2019-0189,NOBO,Northern Bobwhite,2/16/2019,12634 61st Pl S,Seattle,King
2019-0191,AMCR,American Crow,2/16/2019,2425 E Union St,Seattle,King
2019-0202,ROPI,Rock Pigeon,2/18/2019,1026 NE 64th St,Seattle,King
2019-0207,EACO,Eastern Cottontail,2/19/2019,4220 S Trenton Street,Seattle,King
2019-0208,AMCR,American Crow,2/19/2019,342 17th Ave,Seattle,King
2019-0210,EACO,Eastern Cottontail,2/19/2019,11750 3rd Ave NW,Seattle,King
2019-0211,ROPI,Rock Pigeon,2/21/2019,2001 W Garfield St # C127,Seattle,King
2019-0219,ROPI,Rock Pigeon,2/23/2019,1512 Boylston Ave,Seattle,King
2019-0221,ROPI,Rock Pigeon,2/23/2019,222 Yale Ave N,Seattle,King
2019-0225,RACC,Raccoon,2/24/2019,1000 NE 91st,Seattle,King
2019-0226,ANHU,Anna's Hummingbird,2/25/2019,3801 Brooklyn Ave NE,Seattle,King
2019-0229,VATH,Varied Thrush,2/26/2019,13349 25th Ave NE,Seattle,King
2019-0232,RACC,Raccoon,2/26/2019,2061 15th Ave W,Seattle,King
2019-0234,ROPI,Rock Pigeon,2/27/2019,Ballard Bridge,Seattle,King
2019-0242,AMRO,American Robin,3/2/2019,8730 19th Ave NW,Seattle,King
2019-0251,ROPI,Rock Pigeon,3/4/2019,Seattle Art Museum,Seattle,King
2019-0255,MALL,Mallard,3/6/2019,10313 Lake shore Blvd,Seattle,King
2019-0257,ANHU,Anna's Hummingbird,3/6/2019,5627 University Way NE,Seattle,King
2019-0264,ROPI,Rock Pigeon,3/10/2019,1500 2nd Ave,Seattle,King
2019-0265,AMRO,American Robin,3/10/2019,2061 15th Ave W,Seattle,King
2019-0266,AMCR,American Crow,3/10/2019,10734 Dayton Ave N,Seattle,King
2019-0268,EGSQ,Eastern Gray Squirrel,3/11/2019,4200 15th Ave NE,Seattle,King
2019-0271,ROPI,Rock Pigeon,3/11/2019,Fremont Bridge,Seattle,King
2019-0279,EGSQ,Eastern Gray Squirrel,3/12/2019,39th Ave NE & NE 110th St,Seattle,King
2019-0280,EGSQ,Eastern Gray Squirrel,3/12/2019,2061 15th Ave W,Seattle,King
2019-0281,EGSQ,Eastern Gray Squirrel,3/12/2019,2061 15th Ave W,Seattle,King
2019-0282,EGSQ,Eastern Gray Squirrel,3/12/2019,2061 15th Ave W,Seattle,King
2019-0283,EGSQ,Eastern Gray Squirrel,3/12/2019,2061 15th Ave W,Seattle,King
2019-0289,AMRO,American Robin,3/15/2019,3105 Cascadia Ave S,Seattle,King
2019-0291,EGSQ,Eastern Gray Squirrel,3/15/2019,4212 Baker Ave NW,Seattle,King
2019-0298,ROPI,Rock Pigeon,3/16/2019,17th Ave NW & NW Market St,Seattle,King
2019-0301,EGSQ,Eastern Gray Squirrel,3/16/2019,2305 NE 135th St,Seattle,King
2019-0321,GWGU,Glaucous-winged Gull,3/20/2019,SW Michigan and 2nd Ave SW,Seattle,King
2019-0329,EACO,Eastern Cottontail,3/20/2019,10319 Walingford Ave N,Seattle,King
2019-0341,GWGU,Glaucous-winged Gull,3/22/2019,2061 15th Ave W,Seattle,King
2019-0342,EGSQ,Eastern Gray Squirrel,3/22/2019,2061 15th Ave W,Seattle,King
2019-0347,EACO,Eastern Cottontail,3/23/2019,14th Ave & E Cherry St,Seattle,King
2019-0359,EGSQ,Eastern Gray Squirrel,3/25/2019,101 W Olympic Pl #316,Seattle,King
2019-0361,ROPI,Rock Pigeon,3/25/2019,5000 12th ave NE,Seattle,King
2019-0363,ANHU,Anna's Hummingbird,3/25/2019,Magnuson Park,Seattle,King
2019-0364,ROPI,Rock Pigeon,3/26/2019,E Republican St,Seattle,King
2019-0365,EACO,Eastern Cottontail,3/26/2019,12405 Renton Ave S,Seattle,King
2019-0372,EGSQ,Eastern Gray Squirrel,3/27/2019,7022 49th Ave NE,Seattle,King
2019-0381,EGSQ,Eastern Gray Squirrel,3/27/2019,7022 49th Ave NE,Seattle,King
2019-0382,EGSQ,Eastern Gray Squirrel,3/27/2019,7022 49th Ave NE,Seattle,King
2019-0389,ROPI,Rock Pigeon,3/28/2019,2061 15th Ave W,Seattle,King
2019-0410,EGSQ,Eastern Gray Squirrel,3/30/2019,9756 Dayton Ave N,Seattle,King
2019-0412,EACO,Eastern Cottontail,3/30/2019,6838 25th Ave NE,Seattle,King
2019-0418,COHA,Cooper's Hawk,3/30/2019,1762 Ferry Ave SW,Seattle,King
2019-0419,EACO,Eastern Cottontail,3/31/2019,4015 NE 70th St,Seattle,King
2019-0420,EACO,Eastern Cottontail,3/31/2019,4015 NE 70th St,Seattle,King
2019-0421,EACO,Eastern Cottontail,3/31/2019,4015 NE 70th St,Seattle,King
2019-0422,EACO,Eastern Cottontail,3/31/2019,4015 NE 70th St,Seattle,King
2019-0423,EACO,Eastern Cottontail,3/31/2019,4015 NE 70th St,Seattle,King
2019-0426,EACO,Eastern Cottontail,3/31/2019,5437 41st St SW,Seattle,King
2019-0430,RUHU,Rufous Hummingbird,3/31/2019,4277 NE Stevens Way,Seattle,King
2019-0434,HOSP,House Sparrow,3/31/2019,1101 NW 59th St,Seattle,King
2019-0435,WODU,Wood Duck,3/31/2019,9001 Meridian Ave N,Seattle,King
2019-0436,EACO,Eastern Cottontail,3/31/2019,3017 NW 94th St,Seattle,King
2019-0438,EGSQ,Eastern Gray Squirrel,3/31/2019,Green Lake,Seattle,King
2019-0440,EACO,Eastern Cottontail,4/1/2019,207 16th Ave #c,Seattle,King
2019-0448,EACO,Eastern Cottontail,4/1/2019,1227 NW Woodbine Way,Seattle,King
2019-0449,EACO,Eastern Cottontail,4/1/2019,1227 NW Woodbine Way,Seattle,King
2019-0451,EGSQ,Eastern Gray Squirrel,4/1/2019,4700 46th Ave SW,Seattle,King
2019-0454,EACO,Eastern Cottontail,4/2/2019,5206 S Dawson,Seattle,King
2019-0457,EACO,Eastern Cottontail,4/2/2019,13018 20th Ave NE,Seattle,King
2019-0459,EACO,Eastern Cottontail,4/2/2019,2615 NE 75th St,Seattle,King
2019-0461,GWGU,Glaucous-winged Gull,4/2/2019,8115 4th Ave SW,Seattle,King
2019-0465,ANHU,Anna's Hummingbird,4/2/2019,3904 Cowlitz Rd,Seattle,king
2019-0470,ANHU,Anna's Hummingbird,4/2/2019,4020 E Stevens Way NE,Seattle,King
2019-0471,ANHU,Anna's Hummingbird,4/3/2019,W Garfield St & 2nd Ave W,Seattle,King
2019-0472,EACO,Eastern Cottontail,4/3/2019,4046 1st Ave NE,Seattle,King
2019-0473,LLMY,Long-legged Myotis,4/3/2019,9072 Wallingford Ave N,Seattle,King
2019-0474,EACO,Eastern Cottontail,4/3/2019,2041 24th Ave E,Seattle,King
2019-0480,EGSQ,Eastern Gray Squirrel,4/4/2019,1415 1st Ave N # 4,Seattle,King
2019-0483,EACO,Eastern Cottontail,4/4/2019,6500 17th Ave NW,Seattle,King
2019-0484,EGSQ,Eastern Gray Squirrel,4/5/2019,753 N 68th St,Seattle,King
2019-0485,ANHU,Anna's Hummingbird,4/5/2019,4800 Soundpoint Way NE,Seattle,King
2019-0491,EACO,Eastern Cottontail,4/5/2019,3617 SW Lander St,Seattle,King
2019-0492,EACO,Eastern Cottontail,4/5/2019,3617 SW Lander St,Seattle,King
2019-0493,EACO,Eastern Cottontail,4/5/2019,3617 SW Lander St,Seattle,King
2019-0494,EACO,Eastern Cottontail,4/5/2019,3617 SW Lander St,Seattle,King
2019-0495,GWGU,Glaucous-winged Gull,4/5/2019,931 N 98th St,Seattle,King
2019-0504,EACO,Eastern Cottontail,4/7/2019,8200 Crest Dr NE,Seattle,King
2019-0508,RACC,Raccoon,4/7/2019,5500 Phinney Ave N,Seattle,King
2019-0511,EGSQ,Eastern Gray Squirrel,4/7/2019,1311 2nd Ave W,Seattle,King
2019-0515,EACO,Eastern Cottontail,4/8/2019,1522 NE 97th St,Seattle,King
2019-0517,MALL,Mallard,4/8/2019,Greenlake Park,Seattle,King
2019-0521,EGSQ,Eastern Gray Squirrel,4/8/2019,4032 Wallingford Ave N,Seattle,King
2019-0529,AMCR,American Crow,4/8/2019,14026 20th Ave NE,Seattle,King
2019-0533,EGSQ,Eastern Gray Squirrel,4/9/2019,11726 4th Ave NW,Seattle,King
2019-0535,EGSQ,Eastern Gray Squirrel,4/9/2019,3454 35th Ave W,Seattle,King
2019-0539,AMCR,American Crow,4/9/2019,11002 35th Ave NE,Seattle,King
2019-0543,AMRO,American Robin,4/9/2019,13344 1st Ave NE,Seattle,King
2019-0546,EGSQ,Eastern Gray Squirrel,4/9/2019,S Orcas St,Seattle,King
2019-0551,EGSQ,Eastern Gray Squirrel,4/9/2019,2752 NE 103rd St,Seattle,King
2019-0553,EACO,Eastern Cottontail,4/10/2019,931 S Nebraska St,Seattle,King
2019-0554,EACO,Eastern Cottontail,4/10/2019,931 S Nebraska St,Seattle,King
2019-0560,EACO,Eastern Cottontail,4/10/2019,UW Campus,Seattle,King
2019-0563,BCCH,Black-cappped Chickadee,4/11/2019,2728 NE 96th St,Seattle,King
2019-0569,EGSQ,Eastern Gray Squirrel,4/11/2019,209 22nd Ave S # 1,Seattle,King
2019-0575,EGSQ,Eastern Gray Squirrel,4/12/2019,1430 34th Ave,Seattle,King
2019-0577,EACO,Eastern Cottontail,4/12/2019,1004 NW 130th St,Seattle,King
2019-0583,EGSQ,Eastern Gray Squirrel,4/12/2019,6500 3rd Ave NW,Seattle,King
2019-0586,HOFI,House Finch,4/13/2019,515 22nd Ave,Seattle,King
2019-0596,ROPI,Rock Pigeon,4/14/2019,600 5th Ave S,Seattle,King
2019-0599,ANHU,Anna's Hummingbird,4/15/2019,1020 E Jefferson St,Seattle,King
2019-0606,ROPI,Rock Pigeon,4/15/2019,1321 Seneca St,Seattle,King
2019-0607,GWGU,Glaucous-winged Gull,4/15/2019,1600 Cherry St,Seattle,King
2019-0612,COHA,Cooper's Hawk,4/15/2019,8542 1st Ave NW,Seattle,King
2019-0613,EACO,Eastern Cottontail,4/15/2019,545 NE 91st St,Seattle,King
2019-0627,CANG,Canada Goose,4/16/2019,2460 Westlake Ave N,Seattle,King
2019-0629,ROPI,Rock Pigeon,4/16/2019,2650 Alkai Ave SW,Seattle,King
2019-0633,EGSQ,Eastern Gray Squirrel,4/16/2019,5005 38th Ave SW,Seattle,King
2019-0634,EGSQ,Eastern Gray Squirrel,4/16/2019,2844 32nd Ave W,Seattle,King
2019-0638,EGSQ,Eastern Gray Squirrel,4/17/2019,6552 17th Ave NW,Seattle,King
2019-0641,EGSQ,Eastern Gray Squirrel,4/18/2019,2836 34st Ave W,Seattle,King
2019-0664,EGSQ,Eastern Gray Squirrel,4/18/2019,406 NW 58th St,Seattle,King
2019-0665,EGSQ,Eastern Gray Squirrel,4/18/2019,406 NW 58th St,Seattle,King
2019-0666,EACO,Eastern Cottontail,4/18/2019,3866 43rd Ave NE,Seattle,King
2019-0669,RACC,Raccoon,4/19/2019,3919 SW Hanford St,Seattle,King
2019-0670,HOFI,House Finch,4/19/2019,3215 NE 143rd St,Seattle,King
2019-0671,HOFI,House Finch,4/19/2019,3215 NE 143rd St,Seattle,King
2019-0672,HOFI,House Finch,4/19/2019,3215 NE 143rd St,Seattle,King
2019-0673,WODU,Wood Duck,4/19/2019,910 Lenora St,Seattle,King
2019-0678,EGSQ,Eastern Gray Squirrel,4/20/2019,3407 33rd Ave W,Seattle,King
2019-0679,MALL,Mallard,4/20/2019,1421 Elliott Ave W,Seattle,King
2019-0680,MALL,Mallard,4/20/2019,1421 Elliott Ave W,Seattle,King
2019-0681,MALL,Mallard,4/20/2019,1421 Elliott Ave W,Seattle,King
2019-0682,MALL,Mallard,4/20/2019,1421 Elliott Ave W,Seattle,King
2019-0683,MALL,Mallard,4/20/2019,1421 Elliott Ave W,Seattle,King
2019-0684,MALL,Mallard,4/20/2019,1421 Elliott Ave W,Seattle,King
2019-0685,MALL,Mallard,4/20/2019,1421 Elliott Ave W,Seattle,King
2019-0686,OPUS,Virginia Opossum,4/20/2019,110 N 81st St,Seattle,King
2019-0691,EGSQ,Eastern Gray Squirrel,4/20/2019,1573 NE 130th Pl,Seattle,King
2019-0692,EGSQ,Eastern Gray Squirrel,4/20/2019,Lake Washington Blvd & Erie Ave,Seattle,King
2019-0693,DEJU,Dark-eyed Junco,4/20/2019,1122 N 115th St,Seattle,King
2019-0696,DEJU,Dark-eyed Junco,4/21/2019,506 E Howel St,Seattle,King
2019-0697,STJA,Steller's Jay,4/21/2019,7321 7th Pl SW,Seattle,King
2019-0700,EGSQ,Eastern Gray Squirrel,4/21/2019,Woodland Park Zoo,Seattle,King
2019-0702,AMCR,American Crow,4/21/2019,2521 Lake Park Dr S,Seattle,King
2019-0704,EACO,Eastern Cottontail,4/21/2019,10519 11th Ave NE,Seattle,King
2019-0705,EACO,Eastern Cottontail,4/21/2019,613 SW Austin Pl,Seattle,King
2019-0710,EGSQ,Eastern Gray Squirrel,4/21/2019,10500 Riviera Pl NE,Seattle,King
2019-0718,SOSP,Song Sparrow,4/22/2019,2332 N 116th St,Seattle,King
2019-0727,EACO,Eastern Cottontail,4/22/2019,6804 16th Ave NE,Seattle,King
2019-0743,EGSQ,Eastern Gray Squirrel,4/22/2019,2061 15th Ave W,Seattle,King
2019-0752,SPTO,Spotted Towhee,4/23/2019,13748 1st Ave NE,Seattle,King
2019-0754,MALL,Mallard,4/23/2019,5702 20th Ave NW,Seattle,King
2019-0755,MALL,Mallard,4/23/2019,5702 20th Ave NW,Seattle,King
2019-0757,EGSQ,Eastern Gray Squirrel,4/23/2019,Greenlake Kenmore Pl N,Seattle,King
2019-0758,DEJU,Dark-eyed Junco,4/23/2019,4144 11th Ave NE,Seattle,King
2019-0760,COHA,Cooper's Hawk,4/23/2019,5211 19th Ave NE,Seattle,King
2019-0763,DEJU,Dark-eyed Junco,4/24/2019,4565 Purdue Ave NE,Seattle,King
2019-0764,OPUS,Virginia Opossum,4/24/2019,9743 Evanston Ave N,Seattle,King
2019-0766,EACO,Eastern Cottontail,4/24/2019,5211 29th Ave NE,Seattle,King
2019-0767,EACO,Eastern Cottontail,4/24/2019,4521 NE 62nd St,Seattle,King
2019-0768,EGSQ,Eastern Gray Squirrel,4/24/2019,3111 W Mcgraw St,Seattle,King
2019-0769,MALL,Mallard,4/24/2019,2217 NW 57th St,Seattle,King
2019-0770,EGSQ,Eastern Gray Squirrel,4/24/2019,6008 Palatine Ave N,Seattle,King
2019-0771,EGSQ,Eastern Gray Squirrel,4/24/2019,6008 Palatine Ave N,Seattle,King
2019-0772,EGSQ,Eastern Gray Squirrel,4/24/2019,6008 Palatine Ave N,Seattle,King
2019-0773,HOFI,House Finch,4/24/2019,2301 W Lynn St,Seattle,King
2019-0774,EGSQ,Eastern Gray Squirrel,4/24/2019,3841 NE 123rd St,Seattle,King
2019-0782,EACO,Eastern Cottontail,4/25/2019,3840 NE 96th St,Seattle,King
2019-0783,EACO,Eastern Cottontail,4/25/2019,3840 NE 96th St,Seattle,King
2019-0789,EACO,Eastern Cottontail,4/25/2019,5609 Ann Arbor NE,Seattle,King
2019-0790,OPUS,Virginia Opossum,4/25/2019,11303 4th Pl SW,Seattle,King
2019-0793,EACO,Eastern Cottontail,4/25/2019,NE 145th and 5th Ave NE,Seattle,King
2019-0799,EGSQ,Eastern Gray Squirrel,4/26/2019,12316 28th Ave NE,Seattle,King
2019-0800,EACO,Eastern Cottontail,4/26/2019,8548 17th Ave NW,Seattle,King
2019-0808,EACO,Eastern Cottontail,4/26/2019,3801 Discovery Park Blvd,Seattle,King
2019-0820,LAAL,Laysan Albatross,4/26/2019,6700 W Marginal Way,Seattle,King
2019-0821,AMCR,American Crow,4/26/2019,Wall St and 3rd Ave,Seattle,King
2019-0828,EACO,Eastern Cottontail,4/27/2019,9518 28th Ave NW,Seattle,King
2019-0838,WIWA,Wilson's Warbler,4/27/2019,805 Madison St,Seattle,King
2019-0839,DEJU,Dark-eyed Junco,4/27/2019,9928 32nd Ave SW,Seattle,King
2019-0848,EGSQ,Eastern Gray Squirrel,4/27/2019,8737 Greenwood Ave N,Seattle,King
2019-0857,EGSQ,Eastern Gray Squirrel,4/28/2019,10828 36th Ave SW,Seattle,King
2019-0858,WIWA,Wilson's Warbler,4/28/2019,10800 Crestwood Dr S,Seattle,King
2019-0860,OPUS,Virginia Opossum,4/28/2019,2510 NE 140th St,Seattle,King
2019-0861,OPUS,Virginia Opossum,4/28/2019,2510 NE 140th St,Seattle,King
2019-0889,YUMY,Yuma Myotis,4/29/2019,1075 Lake Washington Blvd,Seattle,King
2019-0897,EGSQ,Eastern Gray Squirrel,4/29/2019,1515 42nd Ave E,Seattle,King
2019-0899,EGSQ,Eastern Gray Squirrel,4/29/2019,4619 Densmore Ave N,Seattle,King
2019-0902,OPUS,Virginia Opossum,4/30/2019,2510 NE 140th St,Seattle,King
2019-0917,AMCR,American Crow,4/30/2019,1400 S Columbian Way,Seattle,King
2019-0918,EGSQ,Eastern Gray Squirrel,4/30/2019,5900 Lake Washington Blvd Park,Seattle,King
2019-0919,COHA,Cooper's Hawk,4/30/2019,1401 West Garfield St,Seattle,King
2019-0931,RACC,Raccoon,5/1/2019,NE 75th St & 21st Ave NE,Seattle,King
2019-0938,HOFI,House Finch,5/2/2019,66 S Hanford St,Seattle,King
2019-0939,HOFI,House Finch,5/2/2019,66 S Hanford St,Seattle,King
2019-0940,HOFI,House Finch,5/2/2019,66 S Hanford St,Seattle,King
2019-0957,ROPI,Rock Pigeon,5/2/2019,17801 International Blvd,Seattle,King
2019-0958,OPUS,Virginia Opossum,5/2/2019,700 19th Ave,Seattle,King
2019-0973,EACO,Eastern Cottontail,5/3/2019,3716 NE 75th St,Seattle,King
2019-0990,RACC,Raccoon,5/3/2019,1300 NE 37th Ave E,Seattle,King
2019-0991,AMRO,American Robin,5/3/2019,NE 125th St & 35th Ave NE,Seattle,King
2019-0994,MALL,Mallard,5/4/2019,Lake Union,Seattle,King
2019-0995,GWGU,Glaucous-winged Gull,5/4/2019,900 Alaskan Way,Seattle,King
2019-0996,EUST,European Starling,5/4/2019,725 15th Ave,Seattle,King
2019-1017,AMCR,American Crow,5/5/2019,110 NW 45th St,Seattle,King
2019-1018,DEJU,Dark-eyed Junco,5/5/2019,1414 NE 52nd St,Seattle,King
2019-1023,SHBA,Silver-haired Bat,5/5/2019,509 3rd Ave,Seattle,King
2019-1028,SPTO,Spotted Towhee,5/5/2019,10339 Lake Shore Blvd NE,Seattle,King
2019-1034,EGSQ,Eastern Gray Squirrel,5/5/2019,5012 47th Ave SW,Seattle,King
2019-1048,BLRA,Black Rat,5/6/2019,11608 2nd Ave NW,Seattle,King
2019-1049,AMRO,American Robin,5/6/2019,5200 Wilson Ave S,Seattle,King
2019-1054,DEJU,Dark-eyed Junco,5/7/2019,2402 East Yesler Way,Seattle,King
2019-1055,DEJU,Dark-eyed Junco,5/7/2019,2402 East Yesler Way,Seattle,King
2019-1056,DEJU,Dark-eyed Junco,5/7/2019,2402 East Yesler Way,Seattle,King
2019-1057,MALL,Mallard,5/7/2019,6718 21st Ave SW,Seattle,King
2019-1058,MALL,Mallard,5/7/2019,6718 21st Ave SW,Seattle,King
2019-1059,MALL,Mallard,5/7/2019,6718 21st Ave SW,Seattle,King
2019-1060,MALL,Mallard,5/7/2019,6718 21st Ave SW,Seattle,King
2019-1061,MALL,Mallard,5/7/2019,6718 21st Ave SW,Seattle,King
2019-1062,MALL,Mallard,5/7/2019,6718 21st Ave SW,Seattle,King
2019-1063,MALL,Mallard,5/7/2019,6718 21st Ave SW,Seattle,King
2019-1069,EACO,Eastern Cottontail,5/7/2019,3925 Adams Ln NE,Seattle,King
2019-1072,YRWA,Yellow-rumped Warbler,5/7/2019,14353 Interlake Ave N,Seattle,King
2019-1078,EACO,Eastern Cottontail,5/7/2019,3621 NE 85th St,Seattle,King
2019-1083,CASJ,California Scrub-jay,5/7/2019,1512 NW 58th St,Seattle,King
2019-1085,EUST,European Starling,5/8/2019,734 N 95th St,Seattle,King
2019-1087,ANHU,Anna's Hummingbird,5/8/2019,14285 Sherwood Rd NW,Seattle,King
2019-1089,CANG,Canada Goose,5/8/2019,12610 Interurban Ave,Seattle,King
2019-1097,NOFL,Northern Flicker,5/8/2019,11539 36th Ave NE,Seattle,King
2019-1104,NOBO,Northern Bobwhite,5/8/2019,958 N 127th St,Seattle,King
2019-1108,ANHU,Anna's Hummingbird,5/9/2019,7331 52nd Ave NE,Seattle,King
2019-1115,EACO,Eastern Cottontail,5/9/2019,4562 54th Ave SW,Seattle,King
2019-1116,EACO,Eastern Cottontail,5/9/2019,4562 54th Ave SW,Seattle,King
2019-1121,EUST,European Starling,5/9/2019,2061 15th Ave W,Seattle,King
2019-1122,MALL,Mallard,5/9/2019,2061 15th Ave W,Seattle,King
2019-1123,MALL,Mallard,5/9/2019,2061 15th Ave W,Seattle,King
2019-1124,MALL,Mallard,5/9/2019,2061 15th Ave W,Seattle,King
2019-1125,MALL,Mallard,5/9/2019,2061 15th Ave W,Seattle,King
2019-1126,MALL,Mallard,5/9/2019,2061 15th Ave W,Seattle,King
2019-1129,CANG,Canada Goose,5/10/2019,2001 W Garfield St,Seattle,King
2019-1130,CANG,Canada Goose,5/10/2019,2001 W Garfield St,Seattle,King
2019-1142,EGSQ,Eastern Gray Squirrel,5/10/2019,826 20th Ave,Seattle,King
2019-1144,ROPI,Rock Pigeon,5/10/2019,107 27th Ave,Seattle,King
2019-1156,EGSQ,Eastern Gray Squirrel,5/11/2019,5220 S Myrtle St,Seattle,King
2019-1159,AMCR,American Crow,5/11/2019,Hwy I-5,Seattle,King
2019-1182,EUST,European Starling,5/11/2019,2400 S Massachusetts St,Seattle,King
2019-1186,GADW,Gadwall,5/11/2019,1400 3rd Ave,Seattle,King
2019-1187,OPUS,Virginia Opossum,5/12/2019,6040 36th Ave SW,Seattle,King
2019-1190,EACO,Eastern Cottontail,5/12/2019,4612 25th Ave NE,Seattle,King
2019-1195,EACO,Eastern Cottontail,5/12/2019,2630 S Hudson St,Seattle,King
2019-1196,EACO,Eastern Cottontail,5/12/2019,2630 S Hudson St,Seattle,King
2019-1197,EACO,Eastern Cottontail,5/12/2019,2630 S Hudson St,Seattle,King
2019-1198,EACO,Eastern Cottontail,5/12/2019,2630 S Hudson St,Seattle,King
2019-1199,EACO,Eastern Cottontail,5/12/2019,2630 S Hudson St,Seattle,King
2019-1200,EACO,Eastern Cottontail,5/12/2019,2630 S Hudson St,Seattle,King
2019-1201,EACO,Eastern Cottontail,5/12/2019,2630 S Hudson St,Seattle,King
2019-1202,EACO,Eastern Cottontail,5/12/2019,2630 S Hudson St,Seattle,King
2019-1203,EACO,Eastern Cottontail,5/12/2019,2630 S Hudson St,Seattle,King
2019-1207,OPUS,Virginia Opossum,5/12/2019,6041 36th Ave SW,Seattle,King
2019-1208,OPUS,Virginia Opossum,5/12/2019,6041 36th Ave SW,Seattle,King
2019-1209,OPUS,Virginia Opossum,5/12/2019,6041 36th Ave SW,Seattle,King
2019-1210,OPUS,Virginia Opossum,5/12/2019,6041 36th Ave SW,Seattle,King
2019-1211,OPUS,Virginia Opossum,5/12/2019,6041 36th Ave SW,Seattle,King
2019-1212,OPUS,Virginia Opossum,5/12/2019,6041 36th Ave SW,Seattle,King
2019-1213,OPUS,Virginia Opossum,5/12/2019,6041 36th Ave SW,Seattle,King
2019-1216,STJA,Steller's Jay,5/12/2019,3621 Stone Way N,Seattle,King
2019-1219,GOSN,Gopher Snake,5/12/2019,2707 Rainier Ave S,Seattle,King
